@relation training

@attribute mean numeric
@attribute absMean numeric
@attribute variance numeric
@attribute minMaxAbsSum numeric
@attribute energy numeric
@attribute entropy numeric
@attribute quality {1,2,3}

@data
11.230907,11.230907,0.498098,22.507627,128425.109418,0.181396,1
11.263829,11.263829,0.5263,22.500417,129198.580751,0.183636,1
11.246861,11.246861,0.541753,22.500058,128812.80117,0.183826,1
11.285723,11.285723,0.52384,22.499113,129700.547073,0.183311,1
11.248229,11.248229,0.512019,22.507525,128821.390466,0.181871,1
11.229906,11.229906,0.505601,22.50346,128392.063313,0.180776,1
11.283202,11.283202,0.522241,22.49929,129610.231172,0.180554,1
11.233638,11.233638,0.511732,22.503992,128496.608472,0.182066,1
11.277889,11.277889,0.507775,22.491747,129487.999229,0.180306,1
11.246567,11.246567,0.522735,22.498044,128801.577376,0.183269,1
11.253309,11.253309,0.515281,22.496551,128924.558764,0.180405,1
11.261237,11.261237,0.520335,22.503771,129103.760272,0.179371,1
11.208233,11.208233,0.527454,22.505163,127928.827604,0.183534,1
11.239152,11.239152,0.528598,22.510744,128657.639345,0.185456,1
11.302352,11.302352,0.538372,22.499346,130080.774202,0.182717,1
11.244387,11.244387,0.495025,22.493092,128713.973182,0.179774,1
11.234356,11.234356,0.538231,22.504132,128504.721806,0.181132,1
11.247271,11.247271,0.536447,22.499554,128841.371956,0.185239,1
11.291705,11.291705,0.528746,22.499118,129823.370481,0.181587,1
11.264706,11.264706,0.51033,22.503099,129191.017717,0.180493,1
11.220124,11.220124,0.521521,22.502064,128175.526374,0.180862,1
11.247259,11.247259,0.552883,22.498033,128857.880912,0.186362,1
11.264441,11.264441,0.514732,22.506978,129211.524235,0.182185,1
11.212516,11.212516,0.517362,22.501661,128016.90272,0.182759,1
11.229171,11.229171,0.529981,22.497822,128423.647411,0.185045,1
11.25281,11.25281,0.502504,22.505894,128911.924989,0.180383,1
11.202909,11.202909,0.48295,22.501905,127766.817404,0.179902,1
11.25718,11.25718,0.495464,22.497514,129016.930915,0.180775,1
11.316782,11.316782,0.524976,22.508343,130439.158922,0.185743,1
11.277373,11.277373,0.509627,22.498922,129456.806677,0.178168,1
11.279831,11.279831,0.528418,22.498386,129554.143952,0.18203,1
11.219301,11.219301,0.520588,22.500696,128188.194625,0.184137,1
11.262261,11.262261,0.513447,22.50221,129133.714602,0.180764,1
11.259788,11.259788,0.55239,22.499077,129146.493807,0.186937,1
11.245643,11.245643,0.543417,22.500948,128790.068241,0.184008,1
11.227212,11.227212,0.517627,22.495853,128353.959354,0.18291,1
11.20891,11.20891,0.499888,22.498579,127906.817995,0.179529,1
11.241784,11.241784,0.538514,22.505397,128714.921755,0.184942,1
11.210646,11.210646,0.541821,22.50009,127975.085723,0.182277,1
11.233457,11.233457,0.515776,22.498769,128491.325055,0.182397,1
11.227846,11.227846,0.520892,22.500917,128358.173244,0.181862,1
11.227353,11.227353,0.524805,22.502012,128355.340701,0.182662,1
11.250402,11.250402,0.522275,22.50304,128903.169451,0.184069,1
11.261055,11.261055,0.543776,22.500888,129175.210961,0.186839,1
11.255488,11.255488,0.542037,22.501527,129004.246952,0.182791,1
11.217546,11.217546,0.543982,22.499592,128176.51112,0.186795,1
11.293044,11.293044,0.506971,22.499914,129817.822865,0.178053,1
11.28364,11.28364,0.523099,22.498194,129633.080672,0.18106,1
11.234164,11.234164,0.520528,22.497328,128518.076575,0.183232,1
11.209214,11.209214,0.5115,22.49835,127922.72475,0.180663,1
11.286741,11.286741,0.546769,22.493481,129747.141511,0.185946,1
11.247596,11.247596,0.526749,22.497448,128831.906918,0.18433,1
11.313311,11.313311,0.502256,22.498847,130306.400077,0.180739,1
11.224284,11.224284,0.501006,22.500654,128277.225006,0.181628,1
11.235362,11.235362,0.512434,22.50132,128538.512085,0.182284,1
11.309281,11.309281,0.503083,22.500485,130218.796859,0.180547,1
11.265489,11.265489,0.506378,22.495975,129225.544339,0.182737,1
11.288543,11.288543,0.513655,22.50164,129751.75602,0.181504,1
11.219054,11.219054,0.504501,22.486705,128151.505891,0.18149,1
11.215853,11.215853,0.548567,22.502759,128114.555798,0.184378,1
11.236388,11.236388,0.503765,22.499745,128542.325446,0.18085,1
11.263629,11.263629,0.526677,22.502893,129191.114307,0.183124,1
11.259721,11.259721,0.500737,22.499103,129070.066965,0.179871,1
11.237981,11.237981,0.505327,22.504075,128577.182888,0.179918,1
11.236375,11.236375,0.521087,22.495778,128564.953852,0.183155,1
11.230378,11.230378,0.512147,22.502396,128416.040537,0.181907,1
11.236789,11.236789,0.526072,22.501869,128580.156821,0.18314,1
11.259683,11.259683,0.556808,22.496616,129141.173422,0.186931,1
11.24789,11.24789,0.522236,22.501312,128829.345918,0.182577,1
11.219382,11.219382,0.510926,22.496841,128166.745961,0.181826,1
11.297411,11.297411,0.502666,22.514924,129915.097693,0.177843,1
11.292069,11.292069,0.512046,22.509576,129811.177885,0.179512,1
11.257347,11.257347,0.511799,22.50227,129045.948222,0.182821,1
11.222562,11.222562,0.516639,22.498675,128256.358559,0.183521,1
11.299816,11.299816,0.51999,22.503167,130006.741331,0.18189,1
